1,Politeknik Negeri Lhokseumawe,Jl. Trunojoyo No. 81,Aceh,06272502343,1001
2,Universitas Syiah Kuala,Jl. Buah No. 39,Aceh,06272384372,1002
3,Universitas Malikussaleh,Jl. Merpati No. 65,Aceh,06278929292,1003
4,Universitas Samudra,Jl. Soekarno Hatta No. 81,Aceh,06277536272,1004
5,Universitas Teuku Umar,Jl. Sereh No.91,Aceh,06276878222,1005
6,Universitas Sumatera Utara,Jl. Cikajang No. 48,Sumatera Utara,0617271271,1006
7,Universitas Negeri Medan,Jl. Ciniru No.11,Sumatera Utara,0617272723,1007
8,Politeknik Negeri Medan,Jl. Sei Yahya No. 1,Sumatera Utara,061898672,1008
9,Universitas Andalas,Jl. Cokroaminoto No. 11,Sumatera Barat,0751226321,1009
10,Universitas Negeri Padang,Jl. Gadang No. 8,Sumatera Barat,075127737,1010
11,Politeknik Negeri Padang,Jl. Pulo Karam No. 4,Sumatera Barat,0751627382,1011
12,Politeknik Pertanian Negeri Payakumbuh,Jl. Nipah No. 33,Sumatera Barat,0751283928,1012
13,Sekolah Tinggi Seni Indonesia Padang Panjang,Jl. Angkasa No. 32,Sumatera Barat,0751273921,1013
14,Politeknik Kesehatan Kemenkes Riau,Jl. Cut Meutia No. 23,Riau,076071828,1014
15,Universitas Riau,Jl. Iskandar Muda No. 44,Riau,076071728,1015
16,Politeknik Negeri Bengkalis,Jl. Sultan Maiussaleh No 3,Kepulauan Riau,077122243,1016
17,Universitas Maritim Raja Ali Haji,Jl. W. R. Supratman No. 7,Kepulauan Riau,077182736,1017
18,Politeknik Negeri Batam,Jl. Cik Ditiro No. 88,Kepulauan Riau,077127272,1018
19,Politeknik Kesehatan Kemenkes Jambi,Jl. Ahmad Yani No. 4,Jambi,074055223,1019
20,Universitas Jambi,Jl. Malahayati No. 10,Jambi,074037272,1020
21,Universitas Bengkulu,Jl. Dr. Sutomo No. 5,Bengkulu,0732434233,1021
22,Universitas Sriwijaya,Jl. Teungku Diujung No. 40,Sumatera Selatan,0702543522,1022
23,Politeknik Negeri Sriwijaya,Jl. Singkil No. 98,Sumatera Selatan,0702828333,1023
